Geneid,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_31.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_32.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_33.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_38.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_40.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_41.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_42.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_43.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_44.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_49.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_50.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_51.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_52.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_53.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_54.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_55.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_56.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_57.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_58.bam
ENSG00000228037,11,2,3,6,8,0,11,14,11,0,0,2,6,0,6,11,8,6,3
ENSG00000142611,30,16,22,67,73,48,43,22,84,26,5,10,13,5,90,77,64,72,106
ENSG00000284616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157911,1204,1061,4027,1133,767,1756,521,3350,421,67,247,201,36,51,738,362,905,650,702
ENSG00000260972,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
ENSG00000224340,0,0,2,0,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0
ENSG00000226374,0,0,0,2,4,0,2,0,3,6,1,0,0,7,0,4,3,4,0
ENSG00000229280,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
ENSG00000142655,488,153,509,528,1170,707,619,589,1198,206,117,94,76,85,1132,811,928,931,1806
ENSG00000232596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000235054,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149527,1046,228,734,2711,2733,1284,993,1903,823,206,237,107,171,164,2039,2711,3438,1380,2492
ENSG00000284739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171621,258,85,394,329,351,385,745,450,975,213,86,49,74,32,266,682,266,331,230
ENSG00000272235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ENSG00000284694,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
